Customer_ID,Age,Monthly_Income,Loan_Amount,Loan_Paid
9924220,53,934994,3953441,1
15841962,57,1480716,3274515,1
8619145,29,1734782,834498,1
3499117,54,2247852,3738338,1
14610977,43,1669006,4494759,1
10882733,55,2356554,1480784,0
4740256,63,2417801,4380720,1
7542663,44,2411694,3566763,0
10840621,24,2027122,4380109,1
14156025,24,1102600,3748889,0
5425454,23,2454628,3010475,1
8994581,31,1004150,3456015,1
11911456,39,1136479,2969127,0
3229698,55,2328188,3085284,1
3246839,39,2407862,960597,0
1373613,64,399985,2897199,0
2592281,34,1672593,2153745,0
541952,58,1926332,2446774,0
468615,61,1285989,2095994,0
11203776,41,2253956,4538111,1
4889416,53,537443,4804032,1
579817,43,680207,2230517,0
4205460,40,2322179,3458000,1
7929652,22,2029852,1776701,1
5571086,50,2235447,2677685,0
4040007,62,1462797,860525,0
11223561,53,537173,2306043,1
2943723,64,2251410,884976,1
11931690,51,1714507,3980202,1
560262,64,631637,1584880,0
14879075,33,2409215,3583400,1
11594350,63,338659,830115,1
9165734,61,343087,2604475,1
7491806,44,1515718,710744,0
6927546,38,481673,1782067,1
6741576,34,2355963,4851437,1
15282795,24,651058,3176945,1
14670734,30,1233132,4310582,1
11912116,64,1907599,1920024,1
1317513,57,2441388,1308247,0
10280471,54,2436766,4670131,1
10733614,52,747352,2469374,1
3280889,60,522234,4462732,0
12207461,63,2201995,3418617,0
1876241,46,2126436,1854154,0
11618279,52,1569293,4809084,1
5623813,30,1430888,2487823,0
13043981,53,927309,4811632,1
736519,30,1550701,2115191,0
14681714,53,2435635,3395258,0
